char,count,percentage
E,19212.9,13.677494769379281
S,11502.0,8.188172781693575
O,10218.0,7.274104458645883
A,9974.0,7.100403001618129
I,9835.0,7.001450122409694
N,9458.0,6.733067133477467
U,8987.0,6.397766370116516
R,8977.0,6.390647457943246
T,8890.0,6.328712922035809
L,7666.0,5.457358072027729
M,4892.0,3.4825718351630126
D,4646.0,3.307446595700604
C,4362.0,3.1052694899797753
Ã,4359.0,3.1031338163277944
P,3480.0,2.477381436297482
V,2965.0,2.110757459374148
Q,1875.0,1.3347960324878676
J,1690.0,1.2030961572823982
G,1632.0,1.16180646667744
H,1595.0,1.135466491636346
F,1429.0,1.0172925495600869
B,1270.0,0.9041018460051157
Z,628.0,0.44706768448126977
X,422.0,0.30041809371193606
Y,313.0,0.222821951023308
§,55.0,0.039154016952977454
1,25.0,0.01779728043317157
K,20.0,0.014237824346537253
2,19.0,0.013525933129210393
W,18.0,0.012814041911883529
Â,14.0,0.009966477042576078
3,7.0,0.004983238521288039
5,6.0,0.0042713473039611765
4,6.0,0.0042713473039611765
8,4.0,0.0028475648693074506
6,4.0,0.0028475648693074506
0,4.0,0.0028475648693074506
7,4.0,0.0028475648693074506
9,4.0,0.0028475648693074506
Š,3.0,0.0021356736519805883
