char,count,percentage
E,20771.3,13.756347093896922
N,14708.0,9.740765048746873
I,13212.0,8.749999172154181
S,9848.0,6.5221005031315755
R,9645.0,6.387658342069866
H,9597.0,6.355869062606999
T,8501.0,5.630013848204865
A,8280.0,5.483650707344582
D,7023.0,4.651168951410749
L,6104.0,4.042536705027938
U,5616.0,3.7193456971554557
C,5471.0,3.6233155821113776
O,5314.0,3.5193381472015832
G,4819.0,3.1915112027407657
M,4641.0,3.073625958065967
B,3042.0,2.014645585959205
W,2954.0,1.956365240277282
Ã,2601.0,1.7225815808941132
F,2054.0,1.360316250348523
Z,1522.0,1.007985069635079
K,1387.0,0.9185777211457651
V,1177.0,0.7794996234957213
Ÿ,678.0,0.4490235724129984
J,543.0,0.35961622392368453
P,527.0,0.34901979743606215
Y,513.0,0.33974792425939254
¶,396.0,0.26226155556865394
Q,22.0,0.014570086420480773
X,12.0,0.007947319865716786
1,9.0,0.005960489899287589
3,3.0,0.0019868299664291965
2,2.0,0.0013245533109527976
Œ,2.0,0.0013245533109527976
